               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.031674,            0.029389,           0.0035966,             0.78593,             0.79365,             0.70716,             0.46069,            0.037787,            0.030832,            0.013294,            0.005347,            0.005347,            0.005347
                  96,            0.028326,             0.03093,           0.0038944,             0.77652,             0.79048,             0.72399,             0.48098,            0.037474,            0.030867,            0.012593,           0.0052975,           0.0052975,           0.0052975
                  97,            0.029646,            0.030156,           0.0049532,             0.71276,             0.77675,             0.70551,             0.45461,            0.040925,            0.030705,            0.013018,            0.005248,            0.005248,            0.005248
                  98,            0.031226,            0.028314,           0.0041505,             0.74627,              0.8117,             0.73082,             0.45864,            0.037664,            0.030556,            0.012319,           0.0051985,           0.0051985,           0.0051985
                  99,              0.0331,             0.03081,           0.0039936,             0.77537,             0.68889,             0.69375,             0.46626,            0.039356,            0.030267,            0.012557,            0.005149,            0.005149,            0.005149
                 100,            0.031585,            0.027253,            0.004814,             0.73406,             0.81587,             0.72018,             0.45058,            0.038695,            0.030109,            0.012033,           0.0050995,           0.0050995,           0.0050995
                 101,            0.033994,            0.026515,           0.0037793,             0.75658,             0.77143,               0.718,             0.47378,            0.034979,            0.029859,            0.012294,             0.00505,             0.00505,             0.00505
                 102,            0.028482,            0.031549,           0.0037918,             0.79283,             0.76517,             0.71468,             0.48872,            0.037498,            0.029898,            0.012398,           0.0050005,           0.0050005,           0.0050005
                 103,            0.030285,            0.029284,           0.0041389,             0.79817,             0.76428,             0.73337,             0.47762,            0.035555,             0.02997,            0.011638,            0.004951,            0.004951,            0.004951
                 104,            0.028545,            0.028621,           0.0042927,             0.81305,             0.76558,              0.7376,             0.48025,            0.038148,            0.029771,            0.011506,           0.0049015,           0.0049015,           0.0049015
                 105,            0.028779,            0.031533,           0.0034127,             0.81644,             0.78667,              0.7358,             0.48323,            0.036307,            0.029677,            0.011478,            0.004852,            0.004852,            0.004852
                 106,            0.028589,            0.029618,           0.0041661,             0.81421,             0.78705,              0.7481,             0.48898,            0.038111,            0.030211,            0.011807,           0.0048025,           0.0048025,           0.0048025
                 107,            0.028546,            0.029567,           0.0045439,               0.815,             0.78194,             0.74015,              0.4804,             0.03569,            0.030524,            0.011712,            0.004753,            0.004753,            0.004753
                 108,            0.026225,            0.026967,           0.0034706,             0.77194,             0.79284,             0.72833,              0.4721,            0.037963,            0.030421,            0.011328,           0.0047035,           0.0047035,           0.0047035
                 109,            0.029592,            0.032894,           0.0033982,               0.775,             0.77769,             0.73611,             0.48714,            0.035266,            0.030342,            0.011144,            0.004654,            0.004654,            0.004654
